Name,Average Runtime,End Date,Premiere Date,Genres,Type,Language,Network,Critic_Rating,Total Seasons,Total Episodes,Premier Date,User_Rating,vote_count,poster_path,tagline,Metacritic_Rating
The West Wing,60.0,1999-09-22,2006-05-14,['Drama'],Scripted,English,NBC,8.6,7,154,2006-05-14,8.28,409.0,/yqDWr5NAE7m1IWrygYwLyEB6pN0.jpg,Right place. Right time. Right man.,79.0
The Shield,61.0,2002-03-12,2008-11-25,"['Drama', 'Crime']",Scripted,English,FX,8.6,7,88,2008-11-25,8.124,622.0,/AfdZXqqlFsPUEfi6kWWWthxw7Nz.jpg,The law is just a suggestion.,88.5
Orphan Black,60.0,2013-03-30,2017-08-12,"['Drama', 'Science-Fiction', 'Thriller']",Scripted,English,CTV Sci-Fi Channel,8.6,5,50,2017-08-12,7.8,1114.0,/xKo79AxtabAFoJTqz4RuC3APND4.jpg,She's been duped.,76.25
Banshee,60.0,2013-01-11,2016-05-20,"['Drama', 'Action', 'Crime']",Scripted,English,Cinemax,8.6,4,38,2016-05-20,7.971,1025.0,/5nXFiz8Rn8eezVjSTZBd7HmnF1G.jpg,Small town. Big secrets.,62.0
Farscape,60.0,1999-03-19,2003-03-21,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,Syfy,8.6,4,88,2003-03-21,7.916,449.0,/fCJx7cCXKOEkmCVIIyP8qk0Pb7Y.jpg,"My name is John Crichton, an astronaut.  I'm just looking for a way home.",74.0
Better Call Saul,64.0,2015-02-08,2022-08-15,"['Drama', 'Crime', 'Legal']",Scripted,English,AMC,8.6,6,63,2022-08-15,8.645,4354.0,/fC2HDm5t0kHl7mTm7jxMR31b7by.jpg,Putting the “criminal” in “criminal lawyer.”,88.29
The X-Files,60.0,1993-09-10,2018-03-21,"['Drama', 'Crime', 'Science-Fiction']",Scripted,English,FOX,8.6,11,218,2018-03-21,8.397,2726.0,/5BD0kiTGnDxONqdrsswTewnk6WH.jpg,The truth is out there.,65.67
Shameless,60.0,2011-01-09,2021-04-11,"['Drama', 'Comedy', 'Family']",Scripted,English,Showtime,8.5,11,134,2021-04-11,8.2,2268.0,/9akij7PqZ1g6zl42DQQTtL9CTSb.jpg,"The Gallaghers. Absolutely, Wildly, Unapologetically... Shameless",N/A
Cosmos,60.0,1980-09-28,2020-04-20,[],Documentary,English,National Geographic,8.5,3,39,2020-04-20,8.444,1370.0,/5o07ps0QZ0bNoRYxTn9cPdRWlUu.jpg,"An epic adventure in time, space and life.",N/A
The Office,30.0,2005-03-24,2013-05-16,['Comedy'],Scripted,English,NBC,8.5,9,202,2013-05-16,8.587,3443.0,/dg9e5fPRRId8PoBE0F6jl5y85Eu.jpg,A comedy for anyone whose boss is an idiot.,63.0
Rome,60.0,2005-08-28,2007-03-25,"['Drama', 'Action', 'Adventure']",Scripted,English,HBO,8.5,2,22,2007-03-25,8.263,1090.0,/6TthtTTZ0H7SUkQxJIv0l9yhOOU.jpg,Every city has its secrets.,69.5
Fawlty Towers,30.0,1975-09-19,1979-10-25,['Comedy'],Scripted,English,BBC Two,8.5,2,12,1979-10-25,8.228,605.0,/tvTYIjujN87dcKAmSLqcvAahykH.jpg,Don’t mention the war!,N/A
The Americans,62.0,2013-01-30,2018-05-30,"['Drama', 'Espionage']",Scripted,English,FX,8.5,6,75,2018-05-30,7.9,778.0,/lD4gTLrI81Crs6CDwwjQrnkJrUm.jpg,All's fair in love and cold war.,89.83
Babylon 5,60.0,1993-02-22,2023-08-15,"['Drama', 'Action', 'Science-Fiction']",Scripted,English,TNT,8.5,5,110,2023-08-15,8.109,445.0,/rj87TqwabgJzslrH4G6BCDseBKV.jpg,"The last, best hope for peace.",55.0
Luther,60.0,2010-05-04,2023-03-10,"['Drama', 'Crime', 'Thriller']",Scripted,English,BBC One,8.5,5,20,2023-03-10,7.865,903.0,/hDxOMX8zzH1FiqKWVBzNaYGBkle.jpg,What if your worst enemy was your own conscience?,73.8
Batman: The Animated Series,30.0,1992-09-05,1998-03-17,"['Action', 'Adventure', 'Science-Fiction']",Animation,English,Fox Kids,8.5,4,85,1998-03-17,8.512,1392.0,/lBomQFW1vlm1yUYMNSbFZ45R4Ox.jpg,Out Of The Shadows.,N/A
Line of Duty,62.0,2012-06-26,2021-05-02,"['Drama', 'Crime', 'Thriller']",Scripted,English,BBC One,8.5,6,36,2021-05-02,8.3,322.0,/ysGUKnnR1pGYIndjXWcjupGbWpS.jpg,"If you think catching criminals is tough, try catching police officers.",N/A
Buffy the Vampire Slayer,60.0,1997-03-10,2003-05-20,"['Drama', 'Action', 'Supernatural']",Scripted,English,UPN,8.5,7,144,2003-05-20,8.172,1517.0,/y7fVZkyheCEQHDUEHwNmYENGfT2.jpg,Get home before dark.,80.0
Peaky Blinders,61.0,2013-09-12,2022-04-03,"['Drama', 'Crime', 'History']",Scripted,English,BBC One,8.5,6,36,2022-04-03,8.546,8836.0,/vUUqzWa2LnHIVqkaKVlVGkVcZIW.jpg,London's for the taking,85.0
