Name,Average Runtime,End Date,Premiere Date,Genres,Type,Language,Network,Critic_Rating,Total Seasons,Total Episodes,Premier Date,User_Rating,vote_count,poster_path,tagline,Metacritic_Rating
Ray Donovan,60.0,2013-06-30,2022-01-14,"['Drama', 'Action', 'Crime']",Scripted,English,Showtime,8.1,7,82,2022-01-14,7.539,675.0,/zxftW7ZGVrOCqH2ifuruieCTb5X.jpg,Some damage can't be controlled.,73.0
Gilmore Girls,60.0,2000-10-05,2007-05-15,"['Drama', 'Comedy', 'Romance']",Scripted,English,The CW,8.1,7,153,2007-05-15,7.929,848.0,/d2Aw8BloAZQTmXMjNoy2M6KekLi.jpg,Life's short. Talk fast.,78.0
Pushing Daisies,60.0,2007-10-03,2009-06-13,"['Drama', 'Mystery', 'Supernatural']",Scripted,English,ABC,8.1,2,22,2009-06-13,7.864,334.0,/oSRO8cGvve0pggPK9gHGItfl4j5.jpg,A touch of romance. A touch of mystery. A touch of magic.,84.5
Dead Like Me,61.0,2003-06-27,2004-10-31,"['Drama', 'Comedy', 'Supernatural']",Scripted,English,Showtime,8.1,2,29,2004-10-31,7.651,381.0,/o5wnviUMWiQALNFxKKtE72MowQQ.jpg,Life for her was boring. Death is anything but.,N/A
Alias,60.0,2001-09-30,2006-05-22,"['Drama', 'Action', 'Espionage']",Scripted,English,ABC,8.1,5,105,2006-05-22,6.708,554.0,/Dl3KIxWlSEvnXogNHxdXA4pbAk.jpg,She can be anyone,76.0
Torchwood,53.0,2006-10-22,2011-09-09,"['Drama', 'Science-Fiction']",Scripted,English,STARZ,8.1,4,41,2011-09-09,7.3,440.0,/8fxK9SMaKvQMI4a4VAclf2qEtpD.jpg,Save the Planet (One Alien at a Time),N/A
Psych,60.0,2006-07-07,2021-11-18,"['Drama', 'Comedy', 'Crime']",Scripted,English,USA Network,8.1,8,119,2021-11-18,7.879,673.0,/fDI15gTVbtW5Sbv5QenqecRxWKJ.jpg,Fake psychic. Real detectives.,59.0
Forever,60.0,2014-09-22,2015-05-05,"['Drama', 'Crime', 'Supernatural']",Scripted,English,ABC,8.1,1,22,2015-05-05,7.77,488.0,/4OnnU4j2tQEOnsPnRZswW91v9vr.jpg,Who says you only live once?,N/A
The Middle,30.0,2009-09-30,2018-05-22,"['Comedy', 'Family']",Scripted,English,ABC,8.1,9,215,2018-05-22,7.555,573.0,/u6FluiFx3ocVS0MgZszfpPKXT2p.jpg,"Oh, and your family's so perfect.",70.0
Northern Exposure,60.0,1990-07-12,1995-07-26,"['Drama', 'Comedy']",Scripted,English,CBS,8.1,6,110,1995-07-26,7.9,131.0,/4yPQY1PcH7W2j3fTE77xQcoEgbZ.jpg,"Welcome to Cicely, Alaska",81.5
Only Fools and Horses,35.0,1981-09-08,2003-12-25,['Comedy'],Scripted,English,BBC One,8.1,7,45,2003-12-25,8.0,234.0,/8QznQBwr4aqPIQTiymL7obM3qOK.jpg,Cushty!,N/A
Steven Universe,16.0,2013-11-04,2019-01-21,"['Action', 'Adventure', 'Science-Fiction']",Animation,English,Cartoon Network,8.1,5,154,2019-01-21,8.458,1051.0,/gKUuGaeZ9qiJ9Spoq0LrANQSN5x.jpg,Believe in Steven.,N/A
MacGyver,60.0,1985-09-29,1994-11-24,"['Action', 'Adventure']",Scripted,English,ABC,8.1,7,139,1994-11-24,7.323,840.0,/2zAogx9dmSAu2HYxbWzHe4ZaNY5.jpg,No man has done more with less.,N/A
MacGyver,60.0,1985-09-29,1994-11-24,"['Action', 'Adventure']",Scripted,English,ABC,8.1,7,139,1994-11-24,7.745,717.0,/nLMziyY3Z98fbrPC4e6RwLNPWl2.jpg,His mind is the ultimate weapon.,N/A
Cheers,30.0,1982-09-30,1993-05-20,['Comedy'],Scripted,English,NBC,8.1,11,273,1993-05-20,7.588,505.0,/nD1ZQBKbgKSmKcrAkWTofohsScj.jpg,Where everybody knows your name.,80.0
Ripper Street,62.0,2012-12-30,2016-10-12,"['Drama', 'Crime', 'Mystery']",Scripted,English,BBC Two,8.1,5,36,2016-10-12,7.398,147.0,/6w8yKYsA7RkuyauW224kBZQebFt.jpg,The law for the lawless.,72.0
Charmed,60.0,1998-10-07,2006-05-21,"['Drama', 'Romance', 'Supernatural']",Scripted,English,The WB,8.1,8,178,2006-05-21,8.189,2068.0,/z4bPJ1BWU2EtV69NII2GVvsugQ2.jpg,"Once lucky, Twice smart, Three times Charmed",61.0
Charmed,60.0,1998-10-07,2006-05-21,"['Drama', 'Romance', 'Supernatural']",Scripted,English,The WB,8.1,8,178,2006-05-21,7.347,383.0,/doXHjfOtEmX8kEq1tsMnNqq9YLZ.jpg,Reclaim your power.,61.0
Review,30.0,2014-03-06,2017-03-30,['Comedy'],Scripted,English,Comedy Central,8.0,3,22,2017-03-30,7.7,39.0,/zT7Ujia53WOHsIh5FMprro8ia2Y.jpg,Life: it's literally all we have. But is it any good?,71.0
Combat!,60.0,1962-10-02,1967-03-14,"['Drama', 'War']",Scripted,English,ABC,8.0,5,152,1967-03-14,7.5,92.0,/4Xk9VQ5Xa6jkRHBINkHiRzRNgde.jpg,"On television, war is heck.",N/A
Queer As Folk,60.0,2000-12-03,2005-08-07,"['Drama', 'Romance']",Scripted,English,Showtime,8.0,5,83,2005-08-07,8.287,458.0,/mmhL30PonbrrpEOQH5OdyUguyMg.jpg,You know you want it.,N/A
Life on Mars,60.0,2006-01-09,2007-04-10,"['Drama', 'Crime', 'Science-Fiction']",Scripted,English,BBC One,8.0,2,16,2007-04-10,7.808,226.0,/kFmhMpfyCVsu8AdJmz0xzULUduZ.jpg,"Is he mad, in a coma… or has Detective Sam Tyler really travelled back in time?",N/A
Life on Mars,60.0,2006-01-09,2007-04-10,"['Drama', 'Crime', 'Science-Fiction']",Scripted,English,BBC One,8.0,2,16,2007-04-10,6.519,79.0,/opP6O99cWRZ9tfdPaLsWefbcPRs.jpg,A modern day cop in a 1973 world.,N/A
Rizzoli & Isles,60.0,2010-07-12,2016-09-05,"['Drama', 'Crime']",Scripted,English,TNT,8.0,7,105,2016-09-05,7.982,381.0,/dm80vpySzVtLiVAVJirmxIyQn8H.jpg,Little girls are sugar and spice...and everything vice,61.0
Burn Notice,60.0,2007-06-28,2013-09-12,"['Drama', 'Action', 'Crime']",Scripted,English,USA Network,8.0,7,111,2013-09-12,7.489,424.0,/o2fnD3SNiQjGVgA2C3ezaeh2HK.jpg,"Spies don't get fired, they get burned",72.0
Gunsmoke,58.0,1955-09-10,1975-03-31,"['Action', 'Adventure', 'Western']",Scripted,English,CBS,8.0,20,635,1975-03-31,6.7,86.0,/x7WjYizqcrA64xi9XLqUWCz5DNk.jpg,Get out of Dodge!,N/A
Southland,60.0,2009-04-09,2013-04-17,"['Drama', 'Crime', 'Thriller']",Scripted,English,FOX,8.0,5,43,2013-04-17,7.968,141.0,/pMwmVO4929JYTh8jl3HiFsap4qI.jpg,Protect. Serve. Survive.,79.8
The Tudors,60.0,2007-04-01,2010-06-20,"['Drama', 'History']",Scripted,English,Showtime,8.0,4,38,2010-06-20,7.838,606.0,/tGdf0NIGXrEnFQezRxh9UoT1Baa.jpg,It's Good to Be King.,66.0
Freaks and Geeks,60.0,1999-09-25,2000-07-08,"['Drama', 'Comedy']",Scripted,English,NBC,8.0,1,18,2000-07-08,8.1,627.0,/tPqV63zcW6ZV0Hd48DMGb5UzQIG.jpg,What high school was like for the rest of us.,88.0
Yonderland,30.0,2013-11-10,2016-12-04,"['Comedy', 'Fantasy']",Scripted,English,Sky Showcase,8.0,3,24,2016-12-04,7.583,12.0,/pUMoOTyZvmi15C7c7MgxIXf7Ye3.jpg,She's the Chosen one!,N/A
Blue Mountain State,30.0,2010-01-11,2011-11-30,"['Comedy', 'Sports']",Scripted,English,Paramount Network,8.0,3,39,2011-11-30,7.54,348.0,/dPWBuJZa9ARvDTvHBQnwcGic8ue.jpg,Go long. Go deep. Go state!,N/A
The Big Bang Theory,30.0,2007-09-24,2019-05-16,['Comedy'],Scripted,English,CBS,8.0,12,279,2019-05-16,7.879,10322.0,/ooBGRQBdbGzBxAVfExiO8r7kloA.jpg,Smart is the new sexy.,57.0
The Prisoner,50.0,1967-10-01,1968-02-04,"['Drama', 'Science-Fiction', 'Mystery']",Scripted,English,ITV1,8.0,1,17,1968-02-04,7.8,159.0,/1FtqAlj6jsBk25PKwL2NrgzdFSo.jpg,No man is just a number.,45.0
The Night Shift,60.0,2014-05-27,2017-08-31,"['Drama', 'Action', 'Medical']",Scripted,English,NBC,8.0,4,45,2017-08-31,7.632,209.0,/qSfjudewdGEHAva8LvlbyH0ydof.jpg,Night falls. Duty Calls.,45.0
Jericho,60.0,2006-09-20,2008-03-25,"['Drama', 'Action', 'Science-Fiction']",Scripted,English,CBS,8.0,2,29,2008-03-25,7.1,20.0,/fNQhxTLPz877SrblqUxd9XOuMLP.jpg,Yesterday wilderness. Tomorrow civilisation.,60.0
Terriers,60.0,2010-09-08,2010-12-01,"['Drama', 'Comedy', 'Crime']",Scripted,English,FX,8.0,1,13,2010-12-01,8.167,81.0,/51T6VEO74kijlt2SDowGiiq0Cti.jpg,They'll solve anything for the right price.,75.0
The Fall,62.0,2013-05-13,2016-10-28,"['Drama', 'Crime', 'Thriller']",Scripted,English,BBC Two,8.0,3,17,2016-10-28,7.724,717.0,/77g1S4HFtvjbvaCqxLsqOSsp2cL.jpg,A killer within reach.,N/A
Peep Show,30.0,2003-09-19,2015-12-16,['Comedy'],Scripted,English,Channel 4,8.0,9,54,2015-12-16,8.013,309.0,/6rdoQ0cTjsEQLIwEjhBV8U98oUm.jpg,Welcome to the private world of Jeremy and Mark - two very ordinary weirdos.,N/A
Rescue Me,60.0,2004-07-21,2011-09-07,"['Drama', 'Comedy']",Scripted,English,FX,8.0,7,93,2011-09-07,7.7,136.0,/2N3VPD5wqqwxJZJ0lpMaFPTAzDU.jpg,"They save us, but who saves them?",84.0
Parenthood,60.0,2010-03-02,2015-01-29,"['Drama', 'Comedy', 'Family']",Scripted,English,NBC,8.0,6,103,2015-01-29,7.319,119.0,/9KjKLJrrUI1sU9bNsQaQ5H8kTyY.jpg,Life divides. Family unites.,61.0
"I, Claudius",50.0,1976-09-20,1976-12-06,"['Drama', 'History']",Scripted,English,BBC Two,8.0,1,13,1976-12-06,7.9,95.0,/1EgS8DxHeRwoEYhIZF0D3YbTdxK.jpg,Let all the poisons that lurk in the mud hatch out.,N/A
Married... with Children,30.0,1987-04-05,1997-06-09,"['Comedy', 'Family']",Scripted,English,FOX,8.0,11,259,1997-06-09,7.7,883.0,/qxdOgESOkBMmfcWUizL01mbdqzl.jpg,Domestic bliss was never like this!,N/A
Extras,30.0,2005-07-21,2006-10-19,['Comedy'],Scripted,English,BBC Two,8.0,2,12,2006-10-19,7.8,315.0,/oxiA2O4wRBCOzvfxYjNKZQuitQc.jpg,"Big, big big, stars. And this guy.",84.5
Marvel's Agents of S.H.I.E.L.D.,60.0,2013-09-24,2020-08-12,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,ABC,8.0,7,136,2020-08-12,7.492,3221.0,/gHUCCMy1vvj58tzE3dZqeC9SXus.jpg,Not all heroes are super.,N/A
Houdini,120.0,2014-09-01,2014-09-02,['Drama'],Scripted,English,History,8.0,1,2,2014-09-02,6.994,255.0,/ba43f5KXfH01ipDmDR4lZSQyDkL.jpg,He Knew No Limits,51.0
Lie to Me,60.0,2009-01-21,2011-01-31,"['Drama', 'Crime', 'Mystery']",Scripted,English,FOX,8.0,3,48,2011-01-31,7.935,1313.0,/rrTeGVXHqppoTUydoWV6bCzZs1W.jpg,They're undeceivable.,64.0
Continuum,60.0,2012-05-27,2015-10-09,"['Drama', 'Crime', 'Science-Fiction']",Scripted,English,Showcase,8.0,4,42,2015-10-09,7.534,747.0,/s2rTk8cNuaeyaLhrd3PIKCFyYZ9.jpg,The future is in her hands.,N/A
Star Wars: Clone Wars,5.0,2003-11-07,2005-03-25,"['Action', 'Family', 'Science-Fiction']",Animation,English,Cartoon Network,8.0,3,25,2005-03-25,7.724,331.0,/2lsuke69bRdyB1sxtKmavtwkc35.jpg,"Spread like fire, the Clone Wars have!",N/A
Lost Girl,60.0,2010-09-12,2015-10-25,"['Drama', 'Fantasy', 'Horror']",Scripted,English,Showcase,8.0,5,77,2015-10-25,7.817,378.0,/jE6sqorxIyVU55VhDbz7NbqxZlV.jpg,The underworld has a new hero.,68.0
The Lost Room,90.0,2006-12-11,2006-12-13,"['Drama', 'Science-Fiction', 'Thriller']",Scripted,English,Syfy,8.0,1,3,2006-12-13,7.8,386.0,/ixfo1ysvboBxYehdDDC9D0T3Q33.jpg,Some doors are better left closed.,58.0
The Rockford Files,60.0,1974-03-27,1980-01-10,"['Drama', 'Action', 'Crime']",Scripted,English,NBC,8.0,6,123,1980-01-10,7.5,82.0,/dN1r26OF2eHTVqryoDTHM7TETI6.jpg,"This is Jim Rockford. At the tone leave your name and message, I'll get back to you.",N/A
Columbo,108.0,1968-02-20,2003-01-30,"['Drama', 'Crime', 'Mystery']",Scripted,English,ABC,8.0,20,69,2003-01-30,8.048,570.0,/ypIU92ah9ytKWhDyJJCFoZitbOJ.jpg,"Oh, just one more thing...",N/A
The Musketeers,60.0,2014-01-19,2016-08-01,"['Drama', 'Action', 'Adventure']",Scripted,English,BBC One,8.0,3,30,2016-08-01,6.939,155.0,/6kOMlk4hlavwO5L82eLdklN0fm5.jpg,For love. For honor. For adventure.,69.0
Spooks,60.0,2002-05-13,2011-10-23,"['Drama', 'Thriller', 'Espionage']",Scripted,English,BBC One,8.0,10,86,2011-10-23,7.712,104.0,/5kODxCYihuM49oQWke6GfHdsRT6.jpg,It's a fine line between safety and terror. Meet the rulers.,N/A
Coupling,30.0,2000-05-12,2004-06-14,"['Comedy', 'Romance']",Scripted,English,BBC Three,8.0,4,28,2004-06-14,7.924,249.0,/dWfEw2YPrpKwHxH2K9SloCcMrnI.jpg,The naughty new comedy about nothing...but SEX!,N/A
Tales from the Crypt,30.0,1989-06-10,1996-07-19,"['Comedy', 'Fantasy', 'Horror']",Scripted,English,HBO,8.0,7,93,1996-07-19,7.961,775.0,/sEQmw4B2eaPWGMlpvbRuzEn2QP4.jpg,Dead-On Humor and Horror.,N/A
My So-Called Life,60.0,1994-08-25,1995-01-26,['Drama'],Scripted,English,ABC,8.0,1,19,1995-01-26,7.559,112.0,/kuyxEBpuAYdfHqfzip2Y6UYRI2C.jpg,You know how it feels.,92.0
Monk,60.0,2002-07-12,2023-12-08,"['Drama', 'Comedy', 'Crime']",Scripted,English,USA Network,8.0,8,124,2023-12-08,7.895,897.0,/l7XKtJwl4uxXkbpHdJ3JAfBwRfl.jpg,Obsessive. Compulsive. Detective.,75.0
John Adams,70.0,2008-03-16,2008-04-20,"['Drama', 'History']",Scripted,English,HBO,8.0,1,7,2008-04-20,7.804,247.0,/34qRIcLKkTpmM9x9gzm9nKvo5pW.jpg,He United the States of America.,78.0
Frasier,30.0,1993-09-16,2004-05-13,['Comedy'],Scripted,English,NBC,8.0,12,264,2004-05-13,7.7,666.0,/gYAb6GCVEFsU9hzMCG5rxaxoIv3.jpg,I'm listening.,80.0
That '70s Show,30.0,1998-08-23,2006-05-18,['Comedy'],Scripted,English,FOX,8.0,8,200,2006-05-18,7.989,1253.0,/1rzL6DVmCSZ3jzLFon8mhYcRsUK.jpg,Be groovy... be very groovy!,64.0
The Legend of Korra,30.0,2012-04-14,2014-12-19,"['Action', 'Adventure', 'Fantasy']",Animation,English,Nickelodeon,8.0,4,52,2014-12-19,8.253,1841.0,/dZgYvSfuh1YHDrJuILlVQ5oA2hF.jpg,Only the Avatar can master all four elements.,N/A
TURN: Washington's Spies,60.0,2014-04-06,2017-08-12,"['Drama', 'War']",Scripted,English,AMC,8.0,4,40,2017-08-12,7.2,202.0,/AehTUycX0VSvCkOOkZzurLnjHsS.jpg,Pledge Defiance,N/A
Rectify,62.0,2013-04-22,2016-12-14,"['Drama', 'Crime']",Scripted,English,SundanceTV,8.0,4,30,2016-12-14,7.6,231.0,/tm9nQe9165cyjnTz8NB50izwcpJ.jpg,Sentenced to die. Condemned to live.,90.5
Olive Kitteridge,60.0,2014-11-02,2014-11-03,['Drama'],Scripted,English,HBO,8.0,1,4,2014-11-03,7.582,214.0,/2tuB2kGd4is7tFMhcOTfEGB96lm.jpg,There's no such thing as a simple life.,89.0
Kingdom,60.0,2014-10-08,2017-08-02,"['Drama', 'Family', 'Sports']",Scripted,English,Audience Network,8.0,3,40,2017-08-02,6.9,107.0,/xkRyopANOnO60KWm6DjozXlq9w4.jpg,One of the strong,N/A
Boston Legal,60.0,2004-10-03,2008-12-08,"['Drama', 'Comedy', 'Legal']",Scripted,English,ABC,8.0,5,101,2008-12-08,7.9,275.0,/eQyJoKFGUTlytx9f2zNjqmMOR82.jpg,Just when you thought it was safe to go back into the courtroom.,69.0
Limitless,60.0,2015-09-22,2016-04-26,"['Drama', 'Crime', 'Science-Fiction']",Scripted,English,CBS,8.0,1,22,2016-04-26,7.3,734.0,/l5BERaKn3ozRTLhoylIiNwMDvax.jpg,Open your mind.,N/A
Ash vs Evil Dead,30.0,2015-10-31,2018-04-29,"['Comedy', 'Action', 'Horror']",Scripted,English,STARZ,8.0,3,30,2018-04-29,7.688,1427.0,/zsX1atjvymc4CKu72jE400QJGzL.jpg,It's time to test the mettle of man,N/A
Homicide: Life on the Street,60.0,1993-01-31,2000-02-13,"['Drama', 'Crime', 'Mystery']",Scripted,English,NBC,8.0,8,122,2000-02-13,8.178,104.0,/nb5310xlFjx5r9TnpKoaOTQsAlP.jpg,Homicide: our day begins when yours ends.,94.0
Bates Motel,60.0,2013-03-18,2017-04-24,"['Drama', 'Horror', 'Thriller']",Scripted,English,A&E,8.0,5,50,2017-04-24,8.102,1441.0,/xXKcfZE7ulYxgjjYv51s0zDG69s.jpg,She wouldn't even harm a fly.,71.33
Human Target,60.0,2010-01-17,2011-02-09,"['Action', 'Adventure', 'Crime']",Scripted,English,FOX,8.0,2,25,2011-02-09,7.217,129.0,/28DQmHuzVetpvq3dcK0snfEXflG.jpg,He's a guardian. Not an angel,70.0
The Glades,60.0,2010-07-11,2013-08-26,"['Drama', 'Action', 'Crime']",Scripted,English,A&E,8.0,4,49,2013-08-26,7.131,99.0,/44mkq0KpOngpJSs22m0LdP37Jpp.jpg,Sunny with a chance of homicide,64.0
Monty Python's Flying Circus,30.0,1969-10-05,1974-12-05,['Comedy'],Variety,English,BBC One,8.0,4,45,1974-12-05,8.253,538.0,/jugMPE9rTDySDyirqeDssPJLNQy.jpg,And now for something completely different...,N/A
Teen Wolf,60.0,2011-06-05,2023-01-26,"['Drama', 'Romance', 'Supernatural']",Scripted,English,MTV,8.0,6,100,2023-01-26,8.569,3803.0,/fmlMmxSBgPEunHS5gjokIej048g.jpg,Watch your pack.,61.0
Twin Peaks,62.0,1990-04-08,2017-09-03,"['Crime', 'Mystery', 'Supernatural']",Scripted,English,Showtime,8.0,3,48,2017-09-03,8.295,1775.0,/lA9CNSdo50iQPZ8A2fyVpMvJZAf.jpg,A town where everyone knows everyone and nothing is what it seems.,85.0
Smallville,60.0,2001-10-16,2011-05-13,"['Drama', 'Adventure', 'Science-Fiction']",Scripted,English,The CW,8.0,10,217,2011-05-13,8.232,3730.0,/pUhJGETy2sec4vEkiqJ9eGeIywc.jpg,Every story has a beginning.,75.0
Veep,30.0,2012-04-22,2019-05-12,['Comedy'],Scripted,English,HBO,8.0,7,65,2019-05-12,7.4,352.0,/rsP68RZwUkhdi47hE8AEPLQNVfQ.jpg,The buck stops somewhere near here.,83.71
Sanctuary,60.0,2008-10-03,2011-12-30,"['Drama', 'Adventure', 'Science-Fiction']",Scripted,English,Syfy,8.0,4,59,2011-12-30,7.218,211.0,/7KIBYETkRSfHNsfWAWAt7uq7oGm.jpg,Some hide. They seek.,56.0
The Comeback,30.0,2005-06-05,2014-12-28,['Comedy'],Scripted,English,HBO,8.0,2,21,2014-12-28,7.5,38.0,/mYDVwE8vDniLnxNLo2w1zKqZeBr.jpg,A star is reborn.,64.5
The Leftovers,61.0,2014-06-29,2017-06-04,"['Drama', 'Science-Fiction', 'Thriller']",Scripted,English,HBO,8.0,3,28,2017-06-04,7.6,857.0,/ri8xr223xBb2TeHX3GKypvQPV2B.jpg,We're still here.,81.0
Galavant,30.0,2015-01-04,2016-01-31,"['Comedy', 'Fantasy', 'Music']",Scripted,English,ABC,8.0,2,18,2016-01-31,7.268,125.0,/3q9a5WFsf08v8RQYVfI2DzNd7B4.jpg,Sing his name.,61.0
Carnivàle,60.0,2003-09-14,2005-03-27,"['Drama', 'Fantasy', 'Horror']",Scripted,English,HBO,8.0,2,24,2005-03-27,7.969,353.0,/5pKvfZ3qLuKJd8PQfKcPxN9jTO9.jpg,Into each generation is born a creature of light and a creature of darkness.,N/A
Invader ZIM,30.0,2001-03-30,2006-08-19,['Children'],Animation,English,Nickelodeon,8.0,2,46,2006-08-19,8.434,350.0,/h9T3oTwclpHP13BeutA7wQjEC4r.jpg,Bow down and prepare for DOOM!,N/A
ER,60.0,1994-09-19,2009-04-02,"['Drama', 'Medical']",Scripted,English,NBC,8.0,15,331,2009-04-02,7.845,719.0,/fuS63AoFTkprf8PFeL1f8z68zJr.jpg,Life. Death. Chaos. It's all in a day's work.,80.0
The Outer Limits,60.0,1963-09-16,1965-01-16,"['Drama', 'Science-Fiction']",Scripted,English,ABC,8.0,2,49,1965-01-16,7.9,120.0,/f6IxRbfpfOiJgs15DG42s4BbCb6.jpg,There is nothing wrong with your television. Do not attempt to adjust the picture.,N/A
Soap,30.0,1977-09-13,1981-05-25,['Comedy'],Scripted,English,ABC,8.0,4,90,1981-05-25,7.2,47.0,/kq2G0SjdVcZnKh5cpq9hp0MKvWL.jpg,Soap: the TV show that made Soap Operas funny!,N/A
The Untouchables,60.0,1959-10-15,1963-05-21,"['Drama', 'Action', 'Crime']",Scripted,English,ABC,8.0,4,118,1963-05-21,7.822,107.0,/80IDXgaHmcxj6CKRImkpHjnIMcd.jpg,The true story of FBI man Eliot Ness's savage war on the notorious mobsters Al Capone left behind!,N/A
Samurai Jack,30.0,2001-08-10,2017-05-20,"['Action', 'Adventure']",Animation,English,Adult Swim,8.0,5,62,2017-05-20,8.453,650.0,/ddZ7Q2WZ0xAHkVXYvcEgNGFgVkw.jpg,Death is failure,N/A
Shameless,60.0,2004-01-13,2013-05-28,"['Drama', 'Comedy', 'Family']",Scripted,English,Channel 4,8.0,11,138,2013-05-28,8.2,2268.0,/9akij7PqZ1g6zl42DQQTtL9CTSb.jpg,"The Gallaghers. Absolutely, Wildly, Unapologetically... Shameless",N/A
Quantum Leap,60.0,1989-03-26,1993-05-05,"['Drama', 'Action', 'Science-Fiction']",Scripted,English,NBC,8.0,5,96,1993-05-05,8.068,612.0,/ujIGP3e3V6kDQHRhjNYtUE3fHJi.jpg,Oh Boy!,61.0
Quantum Leap,60.0,1989-03-26,1993-05-05,"['Drama', 'Action', 'Science-Fiction']",Scripted,English,NBC,8.0,5,96,1993-05-05,7.222,72.0,/zyNyPN9XRJrkyphvKcF1OKVeesk.jpg,One leap can change everything.,61.0
The Avengers,60.0,1961-01-07,1969-05-21,"['Comedy', 'Action', 'Crime']",Scripted,English,ITV1,8.0,6,161,1969-05-21,7.847,111.0,/uU7CrpWkD7W04HBpuK4CSbtSKRi.jpg,"Mrs Peel, We're Needed!",N/A
Police Squad!,30.0,1982-03-04,1982-07-08,"['Comedy', 'Crime']",Scripted,English,ABC,8.0,1,6,1982-07-08,7.8,304.0,/bWpzkpnFCQ50NgObaP5it2MiagQ.jpg,When these cops crack down on crime... you crack up with laughter!,N/A
Ironside,61.0,1967-03-28,1993-05-04,"['Drama', 'Crime']",Scripted,English,NBC,8.0,8,193,1993-05-04,5.395,19.0,/f14yvzQg1xEpK3rQGdlApltJki4.jpg,His team. His town. His rules.,N/A
Human Planet,60.0,2011-01-13,2011-03-03,['Nature'],Documentary,English,BBC One,8.0,1,8,2011-03-03,8.32,161.0,/bjhP5yIeyWMRMxJdLjBuiIf255X.jpg,Natural born survivors.,N/A
Millennium,60.0,1996-10-25,1999-05-21,"['Drama', 'Crime', 'Mystery']",Scripted,English,FOX,8.0,3,67,1999-05-21,7.679,224.0,/qi69yoYHNL30Mznult8mQc2dngu.jpg,We don't want to scare you. We want to terrify you.,N/A
The League of Gentlemen,30.0,1999-01-11,2017-12-20,['Comedy'],Scripted,English,BBC Two,8.0,4,21,2017-12-20,7.6,95.0,/wLAWxtYXvqUo4uVwiVsU7ACui6w.jpg,Welcome to Royston Vasey. You'll Never Leave!,N/A
Over the Garden Wall,11.0,2014-11-03,2014-11-07,"['Drama', 'Fantasy', 'Mystery']",Animation,English,Cartoon Network,8.0,1,10,2014-11-07,8.538,1230.0,/m3lU8n7WxzMecxKZcqhq5y5ESy.jpg,Will you take a peek?,N/A
Snowfall,64.0,2017-07-05,2023-04-19,"['Drama', 'Crime']",Scripted,English,FX,8.0,6,60,2023-04-19,8.549,317.0,/y7ntzl7msiaS6o7dvDbNG7XFYcR.jpg,An empire is built brick by brick.,62.0
Pride and Prejudice,52.0,1995-09-24,1995-10-29,"['Drama', 'Romance']",Scripted,English,BBC One,8.0,1,6,1995-10-29,8.222,405.0,/rlqOyCEaZuKoYTI1vhZ0kVyCTV7.jpg,The celebrated BBC dramatisation of a classic romance,N/A
Waking the Dead,60.0,2000-09-04,2011-04-11,"['Drama', 'Crime']",Scripted,English,BBC One,7.9,9,92,2011-04-11,7.6,27.0,/pthoQb9tOrM0gi43ZER4cOKgm8D.jpg,A second chance to catch the killer!,N/A
The Lying Game,60.0,2011-08-15,2013-03-12,"['Drama', 'Thriller']",Scripted,English,Freeform,7.9,2,30,2013-03-12,7.0,60.0,/nH6qbWjBJf9ZzqVrwyO17gQZMdh.jpg,A lost twin. A dark secret. A deadly game.,N/A
The Dresden Files,60.0,2007-01-21,2007-04-15,"['Drama', 'Fantasy', 'Mystery']",Scripted,English,Syfy,7.9,1,12,2007-04-15,6.974,78.0,/rujRcP9fZAk7Sq0U8iDITOXouCW.jpg,"If you need help, call the cops. If you need a miracle, call Harry Dresden",55.0
Magnum P.I.,60.0,1980-12-11,1988-05-01,"['Drama', 'Action', 'Mystery']",Scripted,English,CBS,7.9,8,162,1988-05-01,7.7,246.0,/srJGLcgZqjo6Ojt62IbGaO8TurC.jpg,He’ll have you at aloha.,N/A
Battlestar Galactica,60.0,1978-09-17,1979-04-29,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,ABC,7.9,1,24,1979-04-29,8.226,1343.0,/99PJSbcO2LeM10uOGWeFihNp77j.jpg,So say we all!,N/A
Battlestar Galactica,60.0,1978-09-17,1979-04-29,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,ABC,7.9,1,24,1979-04-29,7.1,199.0,/27jl4H9PauenZlmVBbOO1pr1lGf.jpg,The Last Battlestar Galactica Leads a Rag Tag Fugitive Fleet on a Lonely Quest for a Shining Planet Known as...Earth.,N/A
The Paradise,60.0,2012-09-25,2013-12-08,"['Drama', 'Romance', 'History']",Scripted,English,BBC One,7.9,2,16,2013-12-08,7.301,68.0,/nS1yUFslArJOBheY1XkTlyMflkj.jpg,Step inside for your heart's desire.,71.0
The Closer,60.0,2005-06-13,2012-08-13,"['Drama', 'Crime', 'Mystery']",Scripted,English,TNT,7.9,7,109,2012-08-13,7.87,265.0,/sVE1SSDlXNCBh3sPYkIUTKfxOAk.jpg,They'll bring you in. She'll make you talk.,65.0
Hustle,60.0,2004-02-24,2012-02-17,"['Drama', 'Crime', 'Thriller']",Scripted,English,BBC One,7.9,8,48,2012-02-17,7.708,137.0,/6UTmAZnaqcIsWVKSBWm7pDmdDTI.jpg,The con is on!,71.0
